"Unable to Place Order!! Payment has been failed","Bestellung nicht aufgenommen!! Bezahlung ist fehlgeschlagen"
"KlarnaCredit Checkout has been canceled.","KlarnaCredit Checkout wurde abgebrochen."
"Unable to cancel Klarna Checkout","Klarna Checkout kann nicht abgebrochen werden"
"Paypal Checkout has been canceled.","Paypal Checkout wurde storniert."
"Unable to cancel Paypal Checkout","Paypal Checkout kann nicht storniert werden"
"Make a payment from your new or existing PayPal account.","Zahlung von einem neuen oder bestehenden PayPal-Konto ausführen."
"Tax","Steuern"
"Unable to Place Order","Bestellung kann nicht aufgegeben werden"
"Edit","Bearbeiten"
"Unable to process","Bearbeitung nicht möglich"
"ending in","endet in"
"New Card","Neue Karte"
"Credit Card Number","Kreditkartennummer"
"Month/Year","Monat/Jahr"
"Card Security Code","Karten-Sicherheitscode"
"Payment Instructions","Zahlungsanweisungen"
"Please make your payment now to complete your order.","Bitte leisten Sie jetzt Ihre Zahlung, um Ihre Bestellung abzuschließen."
"Provide your bank with the following wire transfer instruction:","Stellen Sie Ihrer Bank die folgenden Anweisungen zur Überweisung zur Verfügung:"
"Amount:","Menge:"
"Wire Transfer Reference Number:","Wire Transfer Referenznummer:"
"Bank:","Bank:"
"Location:","Standort:"
"Account Holder:","Kontoinhaber:"
"Account Number:","Account Number:"
"Swift Code:","Swift Code:"
"Expiration Time:","Ablaufzeit:"
"Payment Information","Zahlungsinformationen"
"Place Your Order","Platzieren Sie Ihre Bestellung"
"Saved Cards","Gespeicherte Karten"
"Expiration Date:","Gültigkeitsdatum"
"Save this card for future use","Diese Karte für zukünftige Verwendung speichern"
"Card Name:","Kartenname:"
"There is an issue with Refund at DR side","Es gibt ein Problem mit der Rückerstattung auf der DR Side"
"Error! Please check your address and try again.","Error! Bitte überprüfen Sie Ihre Adresse und versuchen Sie es erneut."
"Failed to get Source! Please try again.","Quelle konnte nicht abgerufen werden! Bitte versuche es erneut."
"One or more items in your cart cannot be purchased at this time. Please wait a minute and try placing your order again.","Ein oder mehrere Artikel in Ihrem Warenkorb können derzeit nicht gekauft werden. Bitte warten Sie und versuchen Sie erneut, Ihre Bestellung aufzugeben."