Unable to Place Order!! Payment has been failed,Nous sommes dans l'impossibilité de traiter votre commande. Échec de l'autorisation de paiement.
KlarnaCredit Checkout has been canceled.,Votre Klarna demande annulation a bien été envoyée. Opération est un succès. 
Unable to cancel Klarna Checkout,"Désolé, nous ne pouvons actuellement pas traiter votre Klarna demande de annulation."
Paypal Checkout has been canceled.,Votre PayPal demande annulation a bien été envoyée. Opération est un succès. 
Unable to cancel Paypal Checkout,"Désolé, nous ne pouvons actuellement pas traiter votre Paypal demande de annulation."
Make a payment from your new or existing PayPal account.,"Effectuez un paiement via votre compte PayPal, nouveau ou existant."
Tax,Taxe
Unable to Place Order,Nous sommes dans l'impossibilité de traiter votre commande.
Edit,Modifier
Unable to process,Nous sommes dans l'impossibilité de traiter votre commande.
ending in,se terminant par
New Card,Nouvelle carte
Credit Card Number,Numéro de carte de crédit
Month/Year,Mois/Année
Card Security Code,Le code de sécurité de la carte
Payment Instructions,Modalités de paiement
Please make your payment now to complete your order.,Merci d'effectuer votre paiement maintenant pour exécuter votre commande.
Provide your bank with the following wire transfer instruction:,Veuillez fournir à votre banque les instructions de transfert bancaire suivantes.
Amount:,Montant
Wire Transfer Reference Number:,Numéro de référence du virement bancaire
Bank:,Banque
Location:,Lieu
Account Holder:,Titulaire du compt
Account Number:,Numéro de compte
Swift Code:,Code Swift
Expiration Time:,Temps d'expiration
Payment Information,Informations pour le paiement
Place Your Order,Passer une commande
Saved Cards,Comptes de cartes de crédit sauvegardés
Expiration Date:,Date d'expiration
Save this card for future use,Enregistrer ce compte et les informations de paiement pour des achats ultérieurs.
Card Name:,Nom de la carte de crédit
There is an issue with Refund at DR side,Le remboursement ne peut pas être effectué par Digital River
Error! Please check your address and try again.,Erreur! Confirmer adresse et essayez de nouveau.
Failed to get Source! Please try again.,Impossible d'obtenir la source! Veuillez réessayer.
"One or more items in your cart cannot be purchased at this time. Please wait a minute and try placing your order again.","Un ou plusieurs articles de votre panier ne peuvent pas être achetés pour le moment. Veuillez patienter et réessayer de passer votre commande."