English,Dutch
Unable to Place Order!! Payment has been failed,Wij kunnen uw bestelling niet verwerken. Autorisatie van uw betaling is mislukt.
KlarnaCredit Checkout has been canceled.,Het afrekenen van Klarna is geannuleerd.
Unable to cancel Klarna Checkout,We kunnen uw Klarna-kassa momenteel niet annuleren.
Paypal Checkout has been canceled.,Het afrekenen van PayPal is geannuleerd.
Unable to cancel Paypal Checkout,We kunnen uw PayPal-kassa momenteel niet annuleren.
Make a payment from your new or existing PayPal account.,Voer een betaling uit via uw nieuwe of bestaande PayPal-account.
Tax,Belasting
Unable to Place Order,Wij kunnen uw bestelling niet verwerken. 
Edit,Bewerken
Unable to process,Niet in staat te verwerken
ending in,eindigend op
New Card,Nieuwe kaart
Credit Card Number,Creditcardnummer
Month/Year,Maand/Jaar
Card Security Code,Beveiligingscode van de creditcard
Payment Instructions,Betaalinstructies
Please make your payment now to complete your order.,Maak uw betaling nu over om uw bestelling te voltooien.
Provide your bank with the following wire transfer instruction:,U dient uw bank te voorzien van de volgende overschrijvingsgegevens:
Amount:,Bedrag:
Wire Transfer Reference Number:,Referentienummer telegrafische overschrijving:
Bank:,Bank:
Location:,Locatie:
Account Holder:,Eigenaar van account:
Account Number:,Accountnummer:
Swift Code:,Swiftcode:
Expiration Time:,Vervaldatum:
Payment Information,Betaalgegevens
Place Your Order,Bestelling plaatsen
Saved Cards,Opgeslagen creditcardrekeningen
Expiration Date:,Vervaldatum:
Save this card for future use,Sla deze account- en betalingsgegevens op voor latere aankopen
Card Name:,Creditcard naam
There is an issue with Refund at DR side,Deze terugbetaling is mislukt bij Digital River
Error! Please check your address and try again.,Fout! Bevestig het adres en probeer het opnieuw.
Failed to get Source! Please try again.,Kan Source niet ophalen. Probeer het alstublieft opnieuw.
"One or more items in your cart cannot be purchased at this time. Please wait a minute and try placing your order again.","Een of meer artikelen in uw winkelwagen kunnen op dit moment niet worden gekocht. Wacht a.u.b. en probeer uw bestelling opnieuw te plaatsen."