Unable to Place Order!! Payment has been failed,Vi kan inte fullfölja din order. Betalningsattesteringen misslyckades.
KlarnaCredit Checkout has been canceled.,Din Klarna begäran om annullering är färdigbehandlad.
Unable to cancel Klarna Checkout,Vi kan inte behandla din begäran om annullering med Klarna just nu. 
Paypal Checkout has been canceled.,Din PayPal begäran om annullering är färdigbehandlad.
Unable to cancel Paypal Checkout,Vi kan inte behandla din begäran om annullering med PayPal just nu. 
Make a payment from your new or existing PayPal account.,Gör en betalning från ditt nya eller befintliga PayPal-konto.
Tax,Skatt
Unable to Place Order,Vi kan inte fullfölja din order.
Edit,Ändra
Unable to process,Vi kan inte fullfölja.
ending in,Som slutar på
New Card,Nytt kort
Credit Card Number,Kreditkortsnummer
Month/Year,Månad/År
Card Security Code,Kortets säkerhetskod
Payment Instructions,Betalningsanvisningar
Please make your payment now to complete your order.,Utför betalning nu för att fullborda din order.
Provide your bank with the following wire transfer instruction:,Ge din bank följande instruktioner för elektronisk överföring:
Amount:,Summa
Wire Transfer Reference Number:,Referensnummer för teleöverföring:
Bank:,Bank
Location:,Plats
Account Holder:,Kontoinnehavare
Account Number:,Kontonummer
Swift Code:,Swiftkod
Expiration Time:,Förfallodatum
Payment Information,Betalningsinformation
Place Your Order,Lägg order
Saved Cards,Sparade kreditkortskonton
Expiration Date:,Förfallodatum
Save this card for future use,Spara detta konto och betalningsinformationen för framtida köp.
Card Name:,Kreditkortsnamn
There is an issue with Refund at DR side,Digital River kan inte fullfölja din återbetalningen 
Error! Please check your address and try again.,Fel! Vänligast Bekräfta adressen och försök igen.
Failed to get Source! Please try again.,Misslyckades med att hämta Source. Vänligast försök igen.
"One or more items in your cart cannot be purchased at this time. Please wait a minute and try placing your order again.","En eller flera artiklar i din kundvagn kan inte köpas just nu. Vänta och försök att göra din beställning igen."